,CRelationshipID,WineID,ColorID
0,0,0,10
1,1,1,9
2,2,5,9
3,3,10,10
4,4,11,8
5,5,13,10
6,6,14,0
7,7,16,1
8,8,18,0
9,9,28,10
10,10,30,10
11,11,37,0
12,12,40,8
13,13,61,8
14,14,65,10
15,15,72,8
16,16,73,7
17,17,82,10
18,18,83,1
19,19,89,4
20,20,90,8
21,21,91,3
22,22,91,2
23,23,104,1
24,24,105,8
25,25,106,1
26,26,106,0
27,27,122,9
28,28,126,6
29,29,145,8
30,30,149,0
31,31,151,9
32,32,153,8
33,33,158,8
34,34,159,0
35,35,185,1
36,36,198,1
37,37,200,8
38,38,200,10
39,39,205,8
40,40,217,9
41,41,220,8
42,42,220,10
43,43,223,10
44,44,225,11
45,45,225,4
46,46,228,10
47,47,239,1
48,48,239,8
49,49,240,3
50,50,248,8
51,51,258,8
52,52,267,8
53,53,283,1
54,54,283,0
55,55,293,10
56,56,294,8
57,57,296,8
58,58,300,9
59,59,300,8
60,60,313,11
61,61,313,4
62,62,320,0
63,63,322,1
64,64,336,1
65,65,350,8
66,66,355,0
67,67,357,8
68,68,364,1
69,69,379,8
70,70,379,10
71,71,382,3
72,72,391,8
73,73,392,1
74,74,399,1
75,75,401,8
76,76,405,9
77,77,405,8
78,78,410,8
79,79,410,10
80,80,418,2
81,81,420,6
82,82,421,9
83,83,433,0
84,84,438,0
85,85,439,8
86,86,440,8
87,87,445,0
88,88,446,0
89,89,448,3
90,90,450,8
91,91,450,3
92,92,457,8
93,93,463,10
94,94,473,2
95,95,476,1
96,96,476,0
97,97,480,9
98,98,482,9
99,99,499,8
100,100,500,3
101,101,511,8
102,102,512,9
103,103,532,9
104,104,532,8
105,105,544,9
106,106,546,9
107,107,551,1
108,108,552,8
109,109,554,9
110,110,561,2
111,111,562,9
112,112,566,1
113,113,570,9
114,114,578,1
115,115,578,0
116,116,579,11
117,117,582,8
118,118,584,9
119,119,586,0
120,120,603,0
121,121,610,1
122,122,618,1
123,123,619,7
124,124,644,9
125,125,644,8
126,126,645,1
127,127,648,10
128,128,657,3
129,129,669,8
130,130,670,1
131,131,671,6
132,132,690,8
133,133,698,1
134,134,698,0
135,135,707,8
136,136,712,3
137,137,721,10
138,138,746,10
139,139,748,7
140,140,768,7
141,141,775,8
142,142,782,10
143,143,788,1
144,144,790,7
145,145,805,1
146,146,813,3
147,147,827,3
148,148,834,7
149,149,867,9
150,150,867,10
151,151,875,0
152,152,879,10
153,153,880,1
154,154,884,9
155,155,890,8
156,156,895,1
157,157,925,0
158,158,928,9
159,159,938,7
160,160,958,8
161,161,958,10
162,162,961,3
163,163,980,1
164,164,991,8
165,165,998,1
166,166,1025,7
167,167,1036,8
168,168,1038,8
169,169,1063,8
170,170,1066,0
171,171,1068,8
172,172,1080,0
173,173,1092,1
174,174,1097,0
175,175,1107,3
176,176,1137,7
177,177,1147,7
178,178,1149,8
179,179,1155,8
180,180,1157,10
181,181,1158,8
182,182,1159,8
183,183,1176,8
184,184,1207,7
185,185,1208,6
186,186,1216,2
187,187,1256,9
188,188,1326,7
189,189,1390,7
190,190,1391,1
191,191,1402,9
192,192,1426,7
193,193,1427,8
