,DRelationshipID,WineID,DescriptorID
0,0,0,90
1,1,0,84
2,2,0,82
3,3,0,46
4,4,0,34
5,5,1,44
6,6,1,89
7,7,1,90
8,8,1,84
9,9,1,67
10,10,1,39
11,11,2,46
12,12,2,47
13,13,4,44
14,14,4,47
15,15,4,49
16,16,5,82
17,17,6,36
18,18,6,59
19,19,6,46
20,20,6,47
21,21,7,39
22,22,7,77
23,23,7,84
24,24,8,85
25,25,8,78
26,26,10,77
27,27,10,84
28,28,10,35
29,29,10,32
30,30,10,46
31,31,10,59
32,32,11,94
33,33,11,49
34,34,12,30
35,35,13,77
36,36,13,90
37,37,13,84
38,38,13,46
39,39,13,52
40,40,13,32
41,41,14,90
42,42,14,46
43,43,14,87
44,44,14,59
45,45,14,49
46,46,15,39
47,47,15,84
48,48,16,39
49,49,16,46
50,50,16,84
51,51,16,59
52,52,17,45
53,53,18,39
54,54,18,87
55,55,19,77
56,56,19,11
57,57,19,84
58,58,20,39
59,59,20,60
60,60,20,46
61,61,20,32
62,62,21,57
63,63,21,49
64,64,22,77
65,65,22,89
66,66,22,84
67,67,22,85
68,68,22,39
69,69,23,11
70,70,23,84
71,71,23,46
72,72,23,39
73,73,23,31
74,74,24,11
75,75,24,12
76,76,24,82
77,77,25,11
78,78,25,94
79,79,25,25
80,80,25,39
81,81,25,34
82,82,26,47
83,83,27,4
84,84,27,11
85,85,27,90
86,86,27,46
87,87,27,49
88,88,28,77
89,89,28,90
90,90,28,56
91,91,29,77
92,92,29,11
93,93,29,89
94,94,30,39
95,95,30,89
96,96,30,59
97,97,31,39
98,98,32,39
99,99,32,11
100,100,32,25
101,101,32,46
102,102,33,77
103,103,33,12
104,104,33,94
105,105,33,47
106,106,34,11
107,107,35,97
108,108,35,90
109,109,35,73
110,110,35,84
111,111,36,39
112,112,36,77
113,113,37,44
114,114,37,77
115,115,37,59
116,116,37,84
117,117,37,67
118,118,37,87
119,119,37,39
120,120,37,49
121,121,39,4
122,122,39,36
123,123,39,47
124,124,39,25
125,125,39,39
126,126,39,34
127,127,40,60
128,128,40,11
129,129,40,97
130,130,40,73
131,131,41,59
132,132,41,97
133,133,41,64
134,134,41,49
135,135,42,39
136,136,42,77
137,137,42,25
138,138,42,31
139,139,43,39
140,140,43,89
141,141,43,56
142,142,43,94
143,143,44,39
144,144,44,85
145,145,44,84
146,146,45,77
147,147,45,36
148,148,45,67
149,149,45,85
150,150,45,39
151,151,45,97
152,152,45,49
153,153,46,39
154,154,46,77
155,155,46,89
156,156,47,59
157,157,47,80
158,158,47,64
159,159,47,46
160,160,48,83
161,161,48,9
162,162,48,11
163,163,48,30
164,164,48,39
165,165,50,77
166,166,50,36
167,167,50,67
168,168,50,30
169,169,50,88
170,170,51,90
171,171,51,46
172,172,51,39
173,173,51,5
174,174,51,27
175,175,54,77
176,176,54,64
177,177,55,77
178,178,55,90
179,179,55,101
180,180,55,85
181,181,55,32
182,182,55,88
183,183,56,64
184,184,57,39
185,185,57,60
186,186,57,89
187,187,57,33
188,188,58,11
189,189,58,34
190,190,58,17
191,191,59,11
192,192,59,25
193,193,60,39
194,194,60,60
195,195,60,89
196,196,60,46
197,197,61,58
198,198,65,89
199,199,65,25
200,200,65,46
201,201,65,101
202,202,66,0
203,203,66,25
204,204,66,32
205,205,66,46
206,206,66,39
207,207,67,89
208,208,67,64
209,209,67,82
210,210,67,15
211,211,67,46
212,212,67,39
213,213,68,39
214,214,68,22
