,DescriptorID,DescriptorDesc
0,0,acidic
1,1,aggressive
2,2,alcoholic
3,3,angular
4,4,aroma
5,5,aromatic
6,6,astringent
7,7,austere
8,8,awkward
9,9,backbone
10,10,backward
11,11,balanced
12,12,big
13,13,bitter
14,14,blunt
15,15,body
16,16,bone
17,17,bouquet
18,18,brawny
19,19,briary
20,20,briny
21,21,brooding
22,22,buttery
23,23,chewy
24,24,clarity
25,25,clean
26,26,closed
27,27,cloudy
28,28,cloying
29,29,coarse
30,30,complex
31,31,creamy
32,32,delicate
33,33,dense
34,34,dry
35,35,earthy
36,36,elegant
37,37,fading
38,38,fat
39,39,finish
40,40,flabby
41,41,flat
42,42,fleshy
43,43,flinty
44,44,floral
45,45,forward
46,46,fresh
47,47,fruity
48,48,grassy
49,49,green
50,50,harsh
51,51,hearty
52,52,heavy
53,53,herbaceous
54,54,hollow
55,55,hot
56,56,jammy
57,57,lean
58,58,length
59,59,light
60,60,lush
61,61,masculine
62,62,meaty
63,63,medicinal
64,64,medium
65,65,metallic
66,66,moelleux
67,67,mouthfeel
68,68,nutty
69,69,oaky
70,70,off
71,71,peppery
72,72,perfumed
73,73,plummy
74,74,pruney
75,75,racy
76,76,raisiny
77,77,rich
78,78,robust
79,79,rustic
80,80,savory
81,81,short
82,82,silky
83,83,smoky
84,84,soft
85,85,spicy
86,86,steely
87,87,straw
88,88,structured
89,89,supple
90,90,sweet
91,91,tannic
92,92,tart
93,93,tight
94,94,toasty
95,95,umami
96,96,vegetal
97,97,velvety
98,98,vigorous
99,99,viscous
100,100,volatile
101,101,zesty
