,Name,Vintage,Variety,Country,Region,Subregion,Appellation,TastingNotes,Review,Rating,Descriptors,Colors
0,Alamos Cabernet Sauvignon,2017,Cabernet Sauvignon,Argentina,Cuyo,Mendoza,,"Alamos Cabernet Sauvignon offers aromas of red fruit flavors, sweet spice and a touch of fresh mint. Garnet jewel toned, this Cabernet Sauvignon is full and soft with layers of red currant and cassis, notes of cigar box, leather and ripe black fruits. The wine finishes with finely grained tannins that add structure and length.","""Aromas of tobacco, tea and dark fruit. Mediumbody, firm and silky tannins. Juicy fruit. Delicious cab. Dry and fresh"" ",90.0,"['sweet', 'soft', 'silky', 'fresh', 'dry']",['garnet']
1,Alamos Malbec,2017,Malbec,Argentina,Cuyo,Mendoza,,"The Alamos Malbec has dark, blackish purple color. The nose shows ripe black fruits, black pepper spice and floral notes. The mouthfeel is full yet soft and supple, with black raspberry and currant flavors mingled with notes of sweet spice and a touch of leather. The finish is long and persistent with soft, sweet tannins.",,,"['floral', 'supple', 'sweet', 'soft', 'mouthfeel', 'finish']",['purple']
2,Martini & Rossi Asti Spumante,,Muscat Blanc A Petits Grains,Italy,Piedmont,Asti,,"Low in alcohol, low in acidity, fresh, fruity and highly aromatic.",åÊDecanter 90 pointsåÊ(MayåÊ2018),90.0,"['fresh', 'fruity']",
3,Joseph Drouhin Bourgogne Chardonnay Laforet,2017,Chardonnay,France,Burgundy,,,,,,,
4,Joseph Drouhin Pouilly Fuisse,2017,Chardonnay,France,Burgundy,Maconnais,Pouilly Fuisse,"The color is golden, with some green reflections. Among the floral and fruity aromas, almond and ripe grapes dominate. On the palate, the wine is refreshingly pleasant, ethereal in its lightness. Long and refreshing aftertaste.",,,"['floral', 'fruity', 'green']",
5,Joseph Drouhin Beaujolais Villages,2016,Gamay,France,Burgundy,Beaujolais,Beaujolais Villages,"Bright purple color, a very intense nose, reminiscent of violets, peonies and red berries. On the palate, it has a silky smoothness, and its delicious fruit lingers for a long time. ",,,['silky'],['purple']
6,Joseph Drouhin Laforet Bourgogne Pinot Noir,2017,Pinot Noir,France,Burgundy,,,"The hue has usually a brillant ruby-garnet colour. The nose offers effusive aromas of crushed berries (raspberry, redcurrant and blackcurrant come to mind). On the palate, the wine is full of charm and very pleasant to drink : fresh and fruity berry flavours with light and elegant tannins.",,,"['elegant', 'light', 'fresh', 'fruity']",
7,Nederburg Pinotage Winemaster's Reserve,,Pinotage,South Africa,Western Cape,,,"Well-balanced, rich fruitflavours with soft tanninsand a lingering finish.",,,"['finish', 'rich', 'soft']",
8,Ravenswood Zinfandel Vintners Blend,2015,Zinfandel,United States,California,,,"Robust red, brimming with mouthwatering flavors of spicy ripe raspberry, cherry and boysenberry.",,,"['spicy', 'robust']",
9,Ravenswood Merlot Vintners Blend,2015,Merlot,United States,California,,,"Full of smooth tannins, this Merlot shines with bright fruit flavors of black plum and cherry along with olive and spice.",,,,
10,Pepperwood Grove Pinot Noir,,Pinot Noir,United States,California,,,"Garnet in color, the nose has notes of rose water and cherry preserves. This delicate pinot starts soft with fresh strawberry and bing cherry fruit and finishes with rich plum, light clove and earthy tones.",,,"['rich', 'soft', 'earthy', 'delicate', 'fresh', 'light']",['garnet']
11,Pepperwood Grove Merlot,,Merlot,United States,California,,,"Dark ruby in color with aromas of raspberries, crÌ¬me brulee, and a hint of chocolate and oregano. This Merlot has flavors of strawberry rhubarb pie, plums, green olives with pimentos, and cinnamon finishing with dried apricots, mild green tea, and toasty American oak.",,,"['toasty', 'green']",['ruby']
12,Smoking Loon Cabernet Sauvignon,,Cabernet Sauvignon,United States,California,,,"Cedar, sandalwood, plum and cherry flavors carry over nicely to the palate, where the flavors are intense and well proportioned. Long, complex aftertaste. Drink now.",,,['complex'],
