,WineID,WineDesc,Vintage
0,0,Alamos Cabernet Sauvignon,2017
1,1,Alamos Malbec,2017
2,2,Martini & Rossi Asti Spumante,
3,3,Joseph Drouhin Bourgogne Chardonnay Laforet,2017
4,4,Joseph Drouhin Pouilly Fuisse,2017
5,5,Joseph Drouhin Beaujolais Villages,2016
6,6,Joseph Drouhin Laforet Bourgogne Pinot Noir,2017
7,7,Nederburg Pinotage Winemaster's Reserve,
8,8,Ravenswood Zinfandel Vintners Blend,2015
9,9,Ravenswood Merlot Vintners Blend,2015
10,10,Pepperwood Grove Pinot Noir,
11,11,Pepperwood Grove Merlot,
12,12,Smoking Loon Cabernet Sauvignon,
13,13,Smoking Loon Merlot,
14,14,Smoking Loon Chardonnay,
15,15,Hess Chardonnay Monterey,2017
16,16,Luna di Luna Pinot Grigio,
17,17,Luna di Luna Merlot & Cabernet,
18,18,Black Opal Chardonnay,
19,19,Black Opal Cabernet Sauvignon,
20,20,J Sparkling Wine,
21,21,Cambria Chardonnay Katherine's Vineyard,2017
22,22,Blackstone Winery Merlot,
23,23,Yellow Tail Chardonnay,
24,24,Yellow Tail Shiraz,
25,25,Freixenet Cava Brut Cordon Negro,
26,26,La Rocca Pinot Grigio,2017
27,27,Giesen Estate Sauvignon Blanc,2018
28,28,Francis Coppola Rosso,
29,29,Francis Ford Coppola Diamond Collection Claret Black Label,2017
30,30,Francis Ford Coppola Diamond Collection Merlot Blue Label,
31,31,Francis Coppola Chardonnay Diamond Series,2017
32,32,Cielo Pinot Grigio,2018
33,33,Ramsay Pinot Noir,2017
34,34,Chateau Puech Haut Cuvee Prestige Red,2015
35,35,Excelsior Cabernet Sauvignon,
36,36,Hunter Chaps Pinot Noir,
37,37,King Estate Pinot Gris Oregon,2016
38,38,Due Torri Pinot Grigio,2017
39,39,Villa Rosa Gavi del Comune di Gavi,2017
40,40,Beaulieu Vineyard Bv Coastal Merlot,
41,41,Beaulieu Vineyard Bv Coastal Cabernet Sauvinon,
42,42,Glen Ellen Chardonnay,
43,43,Bogle Vineyards Petite Sirah,
44,44,Bogle Vineyards Merlot,
45,45,Bogle Vineyards Chardonnay,
46,46,Bogle Vineyards Cabernet Sauvignon,
47,47,Kendall Jackson Chardonnay Vintners Reserve,2017
48,48,Kendall-Jackson Cabernet Sauvignon Vintner's Reserve,2016
49,49,Kendall-Jackson Sauvignon Blanc Vintner's Reserve,2018
50,50,Kendall-Jackson Merlot Vintner's Reserve,2015
51,51,Cloudy Bay Sauvignon Blanc,2018
52,52,Pj Valckenberg Gewurtztraminer,2017
53,53,Dr. Loosen Dr. L Riesling,2017
54,54,Fetzer Cabernet Sauvignon,2016
55,55,Fetzer Riesling,
56,56,Fetzer Sundial Chardonnay,2017
57,57,Estancia Cabernet Sauvignon,2016
58,58,Fontana Candida Pinot Grigio,
59,59,Geyser Peak Sauvignon Blanc,2018
60,60,Quinta Do Noval Port Tawny,
61,61,Quinta Do Noval Ruby,
62,62,Mouton Cadet Bordeaux Rouge,
63,63,Mouton Cadet Bordeaux Blanc,
64,64,Fonseca Bin No. 27 Finest Reserve Porto,
65,65,Louis Jadot Beaujolais Villages,2017
66,66,Louis Jadot Macon Villages,2016
67,67,Louis Jadot Pouilly Fuisse,2017
68,68,Louis Jadot Bourgogne Blanc,2017
69,69,Korbel Brut,
70,70,Korbel Extra Dry,
71,71,Dancing Bull Zinfandel,
72,72,Frei Brothers Merlot,2015
73,73,Sutter Home White Zinfandel,
74,74,Markham Merlot,2016
75,75,Ecco Domani Pinot Grigio,
76,76,Robert Mondavi Merlot Private Selection California,
77,77,Robert Mondavi Cabernet Sauvignon,2016
78,78,Robert Mondavi Cabernet Sauvignon Private Selection,
79,79,Robert Mondavi Chardonnay Private Selection,
80,80,Cavit Pinot Grigio,
81,81,Santa Margherita Prosecco Superiore,
82,82,Corvo Nero d'Avola Sicilia Red,2014
83,83,Corvo Bianco,2017
84,84,Santa Margherita Pinot Grigio Alto Adige,2018
85,85,Markham Cabernet Sauvignon,2015
86,86,Markham Sauvignon Blanc,2016
87,87,Rutherford Hill Merlot,2015
88,88,Barton & Guestier Vouvray,2017
89,89,Sandeman Port Tawny,
90,90,Sandeman Port Founders Reserve,
91,91,Hartley & Gibson's Cream Sherry,
92,92,Clos du Bois Chardonnay,
93,93,Raymond R Collection Chardonnay,2016
94,94,Rodney Strong Cabernet Sauvignon,2016
95,95,Rodney Strong Chardonnay,2017
96,96,Rodney Strong Russian River Valley Pinot Noir,2014
97,97,Baron Herzog Chardonnay,
98,98,Baron Herzog Cabernet Sauvignon,
99,99,Santa Barbara Sauvignon Blanc,2016
100,100,Ruffino Chianti,
101,101,Ruffino Orvieto Classico,
102,102,Ruffino Chianti Classico Riserva Ducale Tan,
103,103,Marques de Riscal Rioja Reserva,2013
104,104,Marques de Riscal Rueda White,2015
105,105,Simi Cabernet Sauvignon,2016
106,106,Simi Chardonnay Sonoma County,2018
107,107,St. Francis Winery Zinfandel Old Vine,2016
108,108,St. Francis Chardonnay,2016
109,109,St. Francis Merlot,2015
110,110,Columbia Crest Grand Estates Chardonnay,2015
111,111,Columbia Crest Grand Estates Merlot,2014
112,112,Two Vines Chardonnay,
113,113,Domaine Ste. Michelle Brut,
114,114,Domaine Ste. Michelle Extra Dry,
115,115,Chateau Ste. Michelle Cabernet Sauvignon,2016
116,116,Chateau Ste Michelle Merlot,2016
117,117,Chateau Ste. Michelle Chardonnay,2017
118,118,Chateau Ste. Michelle Columbia Valley Riesling,2016
119,119,Chateau Ste. Michelle Sauvignon Blanc,2017
120,120,Stag's Leap Wine Cellars Cabernet Sauvignon Artemis,2016
121,121,Sterling Vineyards Napa Cabernet Sauvignon,2016
122,122,Sterling Vineyards Napa Merlot,2014
123,123,Sterling Vineyards Napa Sauvignon Blanc,2015
124,124,Sterling Vineyards Napa Chardonnay,2015
125,125,Sterling Vineyards Cabernet Sauvignon Vintner's Collection,2016
126,126,Sterling Vineyards Chardonnay Vintner's Collection,2016
127,127,Sterling Vineyards Merlot Vintner's Collection,2016
128,128,Catena Chardonnay,2016
129,129,J. Lohr Chardonnay Riverstone,2017
130,130,J. Lohr Cabernet Sauvignon,2017
131,131,Marques de Caceres Crianza,2015
132,132,Jaboulet Parallele 45 Cotes du Rhone Rouge,2015
133,133,Beringer Vineyards Cabernet Sauvignon Founders Estate,
134,134,Beringer Sauvignon Blanc Founders' Estate,2016
135,135,Beringer Vineyards White Zinfandel,
136,136,Beringer Merlot Founders' Estate,
137,137,Beringer Chardonnay Founders' Estate,
138,138,Beringer Vineyards Napa Chardonnay,2017
139,139,Beringer White Merlot Main & Vine,
140,140,Travaglini Gattinara,2015
141,141,Vino Dell'Arte Pinot Grigio,
142,142,Graham's Six Grapes Port,
143,143,Graham's 10 Year Old Tawny Port,
144,144,Falesco Vitiano Umbria IGT,2014
145,145,Regaleali Nero d'Avola,2016
146,146,Chalk Hill Estate Chardonnay,2015
147,147,Chalk Hill Sauvignon Blanc,2017
148,148,Conundrum White,2016
149,149,Pepperwood Grove Chardonnay,
150,150,Hess Select Cabernet Sauvignon,2015
151,151,Black Opal Cabernet Merlot,
152,152,Black Opal Shiraz,
153,153,Dry Creek Vineyard Fume Blanc,2016
154,154,Graff Riesling Kabinett,2018
155,155,Honig Sauvignon Blanc,2018
156,156,Jordan Russian River Chardonnay,2016
157,157,Robert Mondavi Winery Napa Valley Chardonnay,2015
158,158,Sandeman Port Ruby,
159,159,R.H. Phillips Toasted Head Chardonnay,2017
160,160,Clos du Bois Merlot,
161,161,Rodney Strong Merlot,2015
162,162,Santa Barbara Chardonnay,2017
163,163,Columbia Crest Two Vines Cabernet-Merlot,
164,164,E. Guigal Cotes du Rhone Rouge,2015
165,165,Yarden Cabernet Sauvignon,2015
166,166,Louis Bernard Cotes du Rhone Village,2016
167,167,Pepperwood Grove Cabernet Sauvignon,
168,168,Blackstone Winery Chardonnay Monterey County,
169,169,Yellow Tail Merlot,
170,170,Pere Anselme Chateauneuf-Du-Pape La Fiole du Pape,NV
171,171,Bolla Amarone della Valpolicella,2013
172,172,Frei Brothers Cabernet Sauvignon,2015
173,173,Hartley & Gibson's Sherry Fino,
174,174,Silverado Napa Cabernet Sauvignon,2016
175,175,St. Francis Cabernet Sauvignon,2016
176,176,Eroica Riesling,2016
177,177,Catena Malbec,2017
178,178,Whitehall Lane Winery Napa Sauvignon Blanc,2017
179,179,Beaulieu Vineyard Bv Coastal Pinot Noir,
180,180,Clos du Bois Cabernet Sauvignon,
181,181,Matanzas Creek Sauvignon Blanc Sonoma County,2017
182,182,Robert Mondavi Private Selection Zinfandel,
183,183,Rombauer Zinfandel,2017
184,184,Blackstone Winery Cabernet Sauvignon,
185,185,Kris Pinot Grigio,2018
186,186,Emilio Moro Ribera del Duero,2016
187,187,Hess Mount Veeder Cabernet Sauvignon,2014
188,188,Bogle Vineyards Sauvignon Blanc,
189,189,Robert Mondavi Pinot Noir Carneros,2015
190,190,Robert Mondavi Sauvignon Blanc Private Selection,
191,191,Baron Herzog Merlot,
192,192,Catena Alta Malbec,2015
193,193,Franciscan Napa Cabernet Sauvignon,2017
194,194,Robert Mondavi Pinot Noir Private Selection,
195,195,Santa Cristina Orvieto,2017
196,196,Teal Lake Cellars Shiraz,
197,197,E. Guigal St Joseph Rouge,2016
198,198,San Giuseppe Pinot Grigio,2016
199,199,Mer Soleil Chardonnay,2017
200,200,Umberto Cesari Sangiovese Riserva,2016
201,201,Ferrari-Carano Sonoma Fume Blanc,2018
202,202,Elisabeth Chambellan Chateauneuf du Pape,2017
203,203,Ravenswood Lodi Zinfandel,2014
204,204,Carpineto Chianti Classico,2017
205,205,Alba Vineyards Old Mill Red,
206,206,Turning Leaf Chardonnay,
207,207,Bartenura Pinot Grigio,2016
208,208,Teal Lake Chardonnay,
209,209,Bonterra Chardonnay,2016
210,210,Seghesio Old Vines Zinfandel,2015
211,211,Simi Sonoma Sauvignon Blanc,2016
212,212,Craggy Range Sauvignon Blanc,2018
213,213,Matua Sauvignon Blanc,2018
214,214,Pine Ridge Chenin Blanc Viognier,2017
215,215,Castle Rock Chardonnay Central Coast,2016
216,216,Frog's Leap Zinfandel,2017
217,217,Clos du Val Cabernet Sauvignon,2014
218,218,Cristom Mount Jefferson Pinot Noir,2017
219,219,Marietta Old Vines Red Lot #68,
220,220,Etude Pinot Noir,2016
221,221,Excelsior Chardonnay,
222,222,Joel Gott Zinfandel,2016
223,223,Kendall Jackson Vintner's Pinot Noir,2016
224,224,E. Guigal Cotes du Rhone Blanc,2017
225,225,Grahams 20 Year Old Tawny Port,
226,226,La Crema Sonoma Coast Pinot Noir,2016
227,227,Lamole di Lamole Chianti Classico,2016
228,228,Melville Estate Syrah,2016
229,229,Murphy Goode Cabernet Sauvignon,
230,230,Danzante Pinot Grigio,2016
231,231,Raymond R Collection Cabernet Sauvignon,2017
232,232,Rex Hill Pinot Noir,2015
233,233,R.H. Phillips Toasted Head Cabernet Sauvignon,2015
234,234,Ruffino Chianti Aziano,
235,235,Carpineto Rosso Dogajolo,2016
236,236,Kendall-Jackson Riesling Vintner's Reserve,2016
237,237,Chateau Ste. Michelle Chardonnay Cold Creek Vineyard,2016
238,238,Chateau Ste. Michelle Harvest Select Riesling,2015
239,239,St. Supery Sauvignon Blanc,2017
240,240,Stags Leap Winery Petite Sirah,
241,241,Clos du Bois Sauvignon Blanc,
242,242,Domaine Ste. Michelle Brut Rose,
243,243,Two Vines Riesling,
244,244,Twin Islands Sauvignon Blanc,2018
245,245,Wente Morning Fog Chardonnay,2017
246,246,Whitehall Lane Winery Napa Cabernet Sauvignon,2015
247,247,Yalumba Muscat Museum Reserve,
248,248,Zenato Amarone,2015
249,249,Frog's Leap Chardonnay,2016
250,250,Argyle Pinot Noir Willamette Valley,2017
251,251,Columbia Crest Two Vines Cabernet Sauvignon,
252,252,Treana Red,2016
253,253,Greenhough Sauvignon Blanc,2017
254,254,Taylor Fladgate 10 Year Tawny,
255,255,Warre's Warrior Finest Reserve Port,
256,256,Murphy Goode Winery The Fume Sauvignon Blanc,
257,257,Joseph Drouhin Macon Villages Chardonnay,2018
258,258,Zenato Valpolicella Superiore Ripassa,2015
259,259,Stag's Leap Aveta Sauvignon Blanc,2016
260,260,Stag's Leap Winery Merlot,2016
261,261,Rocca delle Macie Chianti Classico,2016
262,262,Melville Estate Pinot Noir,2015
263,263,Bartenura Moscato,2018
264,264,Smith & Hook Cabernet Sauvignon,2016
265,265,Simi Merlot,2016
266,266,Rodney Strong Chalk Hill Chardonnay,2016
267,267,Monte Antico Rosso,2014
268,268,Cave L'Aurance Bourgogne Chardonnay,
269,269,Cave L'Aurance Macon Village,
270,270,Cave L'Aurance Pouilly Fuisse,
271,271,Cave L'Aurance Saint-Veran,
272,272,Sequoia Grove Napa Valley Cabernet Sauvignon,2016
273,273,Grgich Hills Cellars Napa Valley Fume Blanc,2014
274,274,Groth Sauvignon Blanc,2018
275,275,Pacific Rim Dry Riesling,2016
276,276,Maso Canali Pinot Grigio,2017
277,277,Grgich Hills Cellars Napa Valley Cabernet Sauvignon,2015
278,278,MacMurray Ranch Pinot Gris Sonoma Coast,2017
279,279,Sterling Vintner's Meritage,2016
280,280,Hartford Court Russian River Pinot Noir,2017
281,281,Newton Skyside Chardonnay,2016
282,282,Clos du Bois Pinot Noir,
283,283,Livio Felluga Pinot Grigio,2017
284,284,Masi Campofiorin Red,2015
285,285,Duckhorn Decoy Red Blend,2016
286,286,Broadbent Rainwater Madiera,
287,287,Walter Hansel Cahill Lane Vineyard Chardonnay,2016
288,288,Firesteed Willamette Valley Pinot Noir,2015
289,289,Calera Central Coast Pinot Noir,2015
290,290,Rodney Strong Charlotte's Home Sauvignon Blanc,2017
291,291,Chateau Ste Michelle Canoe Ridge Chardonnay,2015
292,292,Fratello Revello Barbera,2017
293,293,Meiomi Pinot Noir,2017
294,294,Luigi Pira Dolcetto d'Alba,2018
295,295,Coopers Creek Sauvignon Blanc,2017
296,296,Colosi Sicilia IGT,
297,297,Louis M. Martini Cabernet Sauvignon Napa Valley,2016
298,298,Oyster Bay Sauvignon Blanc,2017
299,299,Mark West Pinot Noir California,2017
300,300,Borsao Tres Picos Garnacha,2017
301,301,Kendall Jackson Grand Reserve Chardonnay,2017
302,302,Taylor Fladgate 20 Year Tawny,
303,303,Charles de Fere Brut Reserve,
304,304,Columbia Crest Walter Clore,2012
305,305,Hartford Court Russian River Chardonnay,2017
306,306,Matua Pinot Noir,2016
307,307,Honig Napa Cabernet Sauvignon,2015
308,308,Zenato Lugana DOC,2018
309,309,Codice Tierra de Castilla,2016
310,310,Don Miguel Gascon Malbec,2017
311,311,Yellow Bird Chardonnay,
312,312,Chateau Greysac,
313,313,Fonseca 20 Year Tawny Port,
314,314,Da Vinci Chianti,
315,315,Red Truck Red,
316,316,Herdade Do Esporao Alentejo Reguengos Reserva,2015
317,317,Goats Do Roam Red,
318,318,Joel Gott Cabernet Sauvignon 815,2016
319,319,Beringer Pinot Grigio Main & Vine,
320,320,Villa Maria Sauvignon Blanc,2017
321,321,Joel Gott Sauvignon Blanc,2016
322,322,Fess Parker Chardonnay,2017
323,323,Dominio de Eguren Protocolo Tinto,2017
324,324,Francis Coppola Diamond Collection Pinot Noir,2016
325,325,Pascual Toso Estate Cabernet Sauvignon,2016
326,326,Masi Bonacosta Valpolicella,2017
327,327,Santa Silvana Pinot Grigio,2018
328,328,Barefoot Chardonnay,
329,329,J. Lohr Merlot Los Osos,2017
330,330,Lapostolle Cabernet Sauvignon Cuvee Alexandre Apalta Vineyard,2016
331,331,Groth Napa Cabernet Sauvignon,2014
332,332,Avalon Cabernet Sauvignon Napa Valley,2016
333,333,Mionetto Brut Prosecco,
334,334,Lauverjat Sancerre,2018
335,335,Annabella Sonoma Cabernet Sauvignon,2016
336,336,Yellow Tail Cabernet Sauvignon,
337,337,Patz & Hall Pinot Noir Sonoma Coast,2016
338,338,Avignonesi Vino Nobile di Montepulicano,2014
339,339,Four Vines Chardonnay,2018
340,340,Four Vines Zinfandel,
341,341,Walter Hansel North Slope Chardonnay,2016
342,342,Raymond R Collection Merlot,2016
343,343,Twenty Bench Cabernet Sauvignon,2017
344,344,Allegrini Valpolicella Classico,2017
345,345,Schramsberg Brut Rose,NV
346,346,Buehler Vineyards Chardonnay,2016
347,347,Feudi di San Gregorio Greco di Tufo,2017
348,348,Herdade Do Esporao Branco Reserva,2017
349,349,Ravenswood Cabernet Sauvignon Vintners Blend,2015
350,350,Castle Rock Cabernet Sauvignon Napa County,2015
351,351,Castle Rock Pinot Noir,2014
352,352,Banfi Rosa Regale,
353,353,Justin Cabernet Sauvignon,2017
354,354,Duckhorn Napa Cabernet Sauvignon,2015
355,355,La Scolca White Label Gavi,2018
356,356,Louis M. Martini Cabernet Sauvignon Sonoma County,2016
357,357,Antinori Chianti Classico Peppoli,2016
358,358,Benton Lane Willamette Valley Pinot Noir,2014
359,359,Edmeades Mendocino Zinfandel,2014
360,360,Erath Winery Pinot Noir,2017
361,361,Chappellet Mountain Cuvee Proprietor's Blend,2017
362,362,Trimbach Pinot Gris Reserve,
363,363,Barefoot Sauvignon Blanc,
364,364,Zaccagnini Dal Tralcetto Bianco,2016
365,365,Lanessan Haut Medoc Bordeaux,2015
366,366,Monkey Bay Sauvignon Blanc,2016
367,367,Yellow Tail Pinot Grigio,
368,368,Mcmanis Chardonnay,
369,369,Barefoot Cabernet Sauvignon,
370,370,Barefoot Merlot,
